index,mid,display_name
57,/m/0lyf6,"Breathing"
58,/m/03q5_w,"Burping, eructation"
59,/m/07qsvvw,"Burst, pop"
60,/m/01bjv,"Bus"
61,/m/01z47d,"Busy signal"
62,/m/07pjwq1,"Buzz"
63,/m/030rvx,"Buzzer"
64,/m/07szfh9,"Cacophony"
65,/m/0dv5r,"Camera"
66,/m/01z5f,"Canidae, dogs, wolves"
67,/m/073cg4,"Cap gun"
68,/m/0k4j,"Car"
69,/m/02mfyn,"Car alarm"
70,/t/dd00134,"Car passing by"
71,/m/015vgc,"Carnatic music"
72,/m/024dl,"Cash register"
73,/m/01yrx,"Cat"
74,/m/07r81j2,"Caterwaul"
75,/m/01xq0k1,"Cattle, bovinae"
76,/m/07r5c2p,"Caw"
77,/m/01xqw,"Cello"
78,/m/01j4z9,"Chainsaw"
79,/m/0150b9,"Change ringing (campanology)"
80,/m/02bk07,"Chant"
81,/m/07rkbfh,"Chatter"
82,/m/053hz1,"Cheering"
83,/m/03cczk,"Chewing, mastication"
84,/m/09b5t,"Chicken, rooster"
85,/t/dd00005,"Child singing"
86,/m/0ytgt,"Child speech, kid speaking"
87,/t/dd00013,"Children playing"
88,/t/dd00135,"Children shouting"
89,/m/0f8s22,"Chime"
90,/m/07q7njn,"Chink, clink"
91,/m/0hdsk,"Chirp tone"
92,/m/07pggtn,"Chirp, tweet"
93,/m/0l14jd,"Choir"
94,/m/07pczhz,"Chop"
95,/m/07pn_8q,"Chopping (food)"
96,/m/07m2kt,"Chorus effect"
97,/m/02mscn,"Christian music"
98,/m/0140xf,"Christmas music"
99,/m/07rgt08,"Chuckle, chortle"
100,/m/03w41f,"Church bell"
101,/m/0dgbq,"Civil defense siren"
102,/m/07rv4dm,"Clang"
103,/m/0l15bq,"Clapping"
104,/m/01wy6,"Clarinet"
105,/m/0ggq0m,"Classical music"
106,/m/07qmpdm,"Clatter"
107,/m/07rwm0c,"Clickety-clack"
108,/m/07qc9xj,"Clicking"
109,/m/07rv9rh,"Clip-clop"
110,/m/01x3z,"Clock"
111,/m/07st89h,"Cluck"
112,/m/0242l,"Coin (dropping)"
113,/m/01m2v,"Computer keyboard"
114,/m/01h8n0,"Conversation"
115,/m/07r_25d,"Coo"
116,/m/01b_21,"Cough"
117,/m/01lyv,"Country"
118,/m/0239kh,"Cowbell"
119,/m/07qs1cx,"Crack"
120,/m/07pzfmf,"Crackle"
121,/m/07qh7jl,"Creak"
122,/m/09xqv,"Cricket"
123,/m/07st88b,"Croak"
124,/m/04s8yn,"Crow"
125,/m/03qtwd,"Crowd"
126,/m/07qn5dc,"Crowing, cock-a-doodle-doo"
127,/t/dd00112,"Crumpling, crinkling"
128,/m/07s12q4,"Crunch"
129,/m/07plct2,"Crushing"
130,/m/0463cq4,"Crying, sobbing"
131,/m/0642b4,"Cupboard open or close"
132,/m/023pjk,"Cutlery, silverware"
133,/m/01qbl,"Cymbal"
134,/m/0ggx5q,"Dance music"
135,/m/08j51y,"Dental drill, dentist's drill"
136,/m/015jpf,"Dial tone"
137,/m/02bxd,"Didgeridoo"
138,/m/07phxs1,"Ding"
139,/m/07r67yg,"Ding-dong"
140,/m/026z9,"Disco"
141,/m/04brg2,"Dishes, pots, and pans"
142,/m/0g12c5,"Distortion"
143,/m/0bt9lr,"Dog"
144,/m/068hy,"Domestic animals, pets"
145,/m/02dgv,"Door"
146,/m/03wwcy,"Doorbell"
147,/m/02fsn,"Double bass"
148,/m/0fqfqc,"Drawer open or close"
149,/m/01d380,"Drill"
150,/m/07r5v4s,"Drip"
151,/m/026t6,"Drum"
152,/m/0283d,"Drum and bass"
153,/m/02hnl,"Drum kit"
154,/m/0cfdd,"Drum machine"
155,/m/02k_mr,"Drum roll"
156,/m/07s72n,"Dubstep"
157,/m/09ddx,"Duck"
158,/m/01jnbd,"Echo"
159,/m/02rr_,"Effects unit"
160,/m/02sgy,"Electric guitar"
161,/m/01s0ps,"Electric piano"
162,/m/02g901,"Electric shaver, electric razor"
163,/m/04fgwm,"Electric toothbrush"
164,/m/08cyft,"Electronic dance music"
165,/m/02lkt,"Electronic music"
166,/m/03xq_f,"Electronic organ"
167,/m/0b_fwt,"Electronic tuner"
168,/m/0m0jc,"Electronica"
169,/m/03j1ly,"Emergency vehicle"
170,/m/02mk9,"Engine"
171,/m/01h82_,"Engine knocking"
172,/t/dd00130,"Engine starting"
173,/m/06_y0by,"Environmental noise"
174,/m/07pxg6y,"Eruption"
175,/t/dd00035,"Exciting music"
176,/m/014zdl,"Explosion"
177,/m/02_nn,"Fart"
178,/t/dd00004,"Female singing"
179,/m/02zsn,"Female speech, woman speaking"
180,/m/07hvw1,"Field recording"
181,/m/02p01q,"Filing (rasp)"
182,/m/07p7b8y,"Fill (with liquid)"
183,/m/025_jnm,"Finger snapping"
184,/m/02_41,"Fire"
185,/m/0c3f7m,"Fire alarm"
186,/m/012ndj,"Fire engine, fire truck (siren)"
187,/g/122z_qxw,"Firecracker"
188,/m/0g6b5,"Fireworks"
189,/m/0cmf2,"Fixed-wing aircraft, airplane"
190,/m/0326g,"Flamenco"
191,/m/07pyf11,"Flap"
192,/m/0l14j_,"Flute"
193,/m/0h2mp,"Fly, housefly"
194,/m/04fq5q,"Foghorn"
195,/m/02w4v,"Folk music"
196,/m/025rv6n,"Fowl"
197,/m/0319l,"French horn"
198,/m/09ld4,"Frog"
199,/m/0dxrf,"Frying (food)"
200,/m/02x8m,"Funk"
201,/t/dd00032,"Funny music"
202,/m/02z32qm,"Fusillade"
203,/m/0939n_,"Gargling"
204,/m/07s0dtb,"Gasp"
205,/m/0l7xg,"Gears"
206,/m/07r660_,"Giggle"
207,/m/039jq,"Glass"
208,/m/0dwtp,"Glockenspiel"
209,/m/03fwl,"Goat"
210,/m/07svc2k,"Gobble"
211,/m/0mbct,"Gong"
212,/m/0dbvp,"Goose"
213,/m/016cjb,"Gospel music"
214,/m/07s2xch,"Groan"
215,/m/0ghcn6,"Growling"
216,/m/0dls3,"Grunge"
217,/m/07r4k75,"Grunt"
218,/m/0342h,"Guitar"
219,/m/032s66,"Gunshot, gunfire"
220,/m/07swgks,"Gurgling"
221,/t/dd00088,"Gush"
222,/m/03wvsk,"Hair dryer"
223,/m/03l9g,"Hammer"
224,/m/03gvt,"Hammond organ"
225,/m/0k65p,"Hands"
226,/t/dd00031,"Happy music"
227,/m/0b9m1,"Harmonic"
228,/m/03qjg,"Harmonica"
229,/m/03m5k,"Harp"
230,/m/03q5t,"Harpsichord"
231,/m/01jg1z,"Heart murmur"
232,/m/01jg02,"Heart sounds, heartbeat"
233,/t/dd00067,"Heavy engine (low frequency)"
234,/m/03lty,"Heavy metal"
235,/m/09ct_,"Helicopter"
236,/m/03qtq,"Hi-hat"
237,/m/02p3nc,"Hiccup"
238,/m/0glt670,"Hip hop music"
239,/m/07rjwbb,"Hiss"
240,/m/07qwf61,"Honk"
241,/m/07r_80w,"Hoot"
242,/m/03k3r,"Horse"
243,/m/03mb9,"House music"
244,/m/07qf0zm,"Howl"
245,/m/07qfr4h,"Hubbub, speech noise, speech babble"
246,/m/07rcgpl,"Hum"
247,/m/02fxyj,"Humming"
248,/m/03cl9h,"Ice cream truck, ice cream van"
249,/m/07pb8fc,"Idling"
250,/m/05rwpb,"Independent music"
251,/m/03vt0,"Insect"
252,/t/dd00126,"Inside, large room or hall"
253,/t/dd00127,"Inside, public space"
254,/t/dd00125,"Inside, small room"
255,/m/03p19w,"Jackhammer"
256,/m/03_d0,"Jazz"
257,/m/04229,"Jet engine"
258,/m/03r5q_,"Jingle (music)"
259,/m/027m70_,"Jingle bell"
260,/m/07qfgpx,"Jingle, tinkle"
261,/m/05148p4,"Keyboard (musical)"
262,/m/03v3yw,"Keys jangling"
263,/m/07r4wb8,"Knock"
264,/m/01j3sz,"Laughter"
265,/m/01yg9g,"Lawn mower"
266,/t/dd00065,"Light engine (high frequency)"
267,/m/04k94,"Liquid"
268,/m/0ch8v,"Livestock, farm animals, working animals"
269,/m/07pkxdp,"Lullaby"
270,/m/04zjc,"Machine gun"
271,/m/06xkwv,"Mains hum"
272,/t/dd00003,"Male singing"
273,/m/05zppz,"Male speech, man speaking"
274,/m/0j45pbj,"Mallet percussion"
275,/m/04rzd,"Mandolin"
276,/m/01c194,"Mantra"
277,/m/0xzly,"Maraca"
278,/m/0dwsp,"Marimba, xylophone"
279,/m/02x984l,"Mechanical fan"
280,/t/dd00077,"Mechanisms"
281,/t/dd00066,"Medium engine (mid frequency)"
282,/m/07qrkrw,"Meow"
283,/m/0fx9l,"Microwave oven"
284,/m/06j64v,"Middle Eastern music"
285,/m/07rpkh9,"Moo"
286,/m/09f96,"Mosquito"
287,/m/012f08,"Motor vehicle (road)"
288,/m/02rlv9,"Motorboat, speedboat"
289,/m/04_sv,"Motorcycle"
290,/m/04rmv,"Mouse"
291,/m/04rlf,"Music"
292,/m/05fw6t,"Music for children"
293,/m/0164x2,"Music of Africa"
294,/m/028sqc,"Music of Asia"
295,/m/0dq0md,"Music of Bollywood"
296,/m/0g293,"Music of Latin America"
297,/m/04szw,"Musical instrument"
298,/m/02qldy,"Narration, monologue"
299,/m/07q5rw0,"Neigh, whinny"
300,/m/02v2lh,"New-age music"
301,/m/096m7z,"Noise"
302,/m/05kq4,"Ocean"
303,/t/dd00018,"Oink"
304,/m/05lls,"Opera"
305,/m/05pd6,"Orchestra"
306,/m/013y1f,"Organ"
307,/t/dd00129,"Outside, rural or natural"
308,/t/dd00128,"Outside, urban or manmade"
309,/m/09d5_,"Owl"
310,/m/07pyy8b,"Pant"
311,/m/07r4gkf,"Patter"
312,/m/0l14md,"Percussion"
313,/m/05r5c,"Piano"
314,/m/068zj,"Pig"
315,/m/0h0rv,"Pigeon, dove"
316,/m/07qwdck,"Ping"
317,/m/0cj0r,"Pink noise"
318,/m/0d8_n,"Pizzicato"
319,/m/07qyrcz,"Plop"
320,/m/0fx80y,"Plucked string instrument"
321,/m/04qvtq,"Police car (siren)"
322,/m/064t9,"Pop music"
323,/m/07prgkl,"Pour"
324,/m/0_ksk,"Power tool"
325,/m/04gxbd,"Power windows, electric windows"
326,/m/01m4t,"Printer"
327,/m/0dl5d,"Progressive rock"
328,/m/02l6bg,"Propeller, airscrew"
329,/m/05w3f,"Psychedelic rock"
330,/m/05zc1,"Pulleys"
331,/m/07pt_g0,"Pulse"
332,/m/07ptzwd,"Pump (liquid)"
333,/m/05r6t,"Punk rock"
334,/m/02yds9,"Purr"
335,/m/07qdb04,"Quack"
336,/m/0ltv,"Race car, auto racing"
337,/m/06bz3,"Radio"
338,/m/06d_3,"Rail transport"
339,/m/01g50p,"Railroad car, train wagon"
340,/m/06mb1,"Rain"
341,/t/dd00038,"Rain on surface"
342,/m/07r10fb,"Raindrop"
343,/m/06bxc,"Rapping"
344,/m/02bm9n,"Ratchet, pawl"
345,/m/07qn4z3,"Rattle"
346,/m/05r5wn,"Rattle (instrument)"
347,/m/06cqb,"Reggae"
348,/m/01b9nn,"Reverberation"
349,/m/02rhddq,"Reversing beeps"
350,/m/06j6l,"Rhythm and blues"
351,/m/03t3fj,"Rimshot"
352,/m/01hnzm,"Ringtone"
353,/m/04cvmfc,"Roar"
354,/m/0cdnk,"Roaring cats (lions, tigers)"
355,/m/07sbbz2,"Rock and roll"
356,/m/06by7,"Rock music"
357,/m/06hps,"Rodents, rats, mice"
358,/m/07s8j8t,"Roll"
359,/m/056ks2,"Rowboat, canoe, kayak"
360,/m/07pdjhy,"Rub"
361,/m/07phhsh,"Rumble"
362,/m/06h7j,"Run"
363,/m/07qwyj0,"Rustle"
364,/m/09t49,"Rustling leaves"
365,/t/dd00033,"Sad music"
366,/m/0hsrw,"Sailboat, sailing ship"
367,/m/0ln16,"Salsa music"
368,/m/01v1d8,"Sampler"
369,/m/023vsd,"Sanding"
370,/m/01b82r,"Sawing"
371,/m/06ncr,"Saxophone"
372,/t/dd00037,"Scary music"
373,/m/01lsmm,"Scissors"
374,/m/07qv4k0,"Scrape"
375,/m/07qb_dv,"Scratch"
376,/m/01hgjl,"Scratching (performance technique)"
377,/m/03qc9zr,"Screaming"
378,/m/0llzx,"Sewing machine"
379,/m/07rn7sz,"Shatter"
380,/m/07bgp,"Sheep"
381,/m/06q74,"Ship"
382,/m/0l14l2,"Shofar"
383,/m/07p6fty,"Shout"
384,/m/07qv_x_,"Shuffle"
385,/m/05rj2,"Shuffling cards"
386,/m/08p9q4,"Sidetone"
387,/m/07plz5l,"Sigh"
388,/m/028v0c,"Silence"
389,/m/01v_m0,"Sine wave"
390,/m/015lz1,"Singing"
391,/m/0l14t7,"Singing bowl"
392,/m/07bjf,"Single-lens reflex camera"
393,/m/0130jx,"Sink (filling or washing)"
394,/m/03kmc9,"Siren"
395,/m/0jtg0,"Sitar"
396,/m/07p9k1k,"Sizzle"
397,/m/06rqw,"Ska"
398,/m/06_fw,"Skateboard"
399,/m/07rknqz,"Skidding"
400,/m/07rjzl8,"Slam"
401,/m/07ryjzk,"Slap, smack"
402,/m/02y_763,"Sliding door"
403,/m/07p6mqd,"Slosh"
404,/m/07pjjrj,"Smash, crash"
405,/m/01y3hg,"Smoke detector, smoke alarm"
406,/m/078jl,"Snake"
407,/m/06rvn,"Snare drum"
408,/m/01hsr_,"Sneeze"
409,/m/07s04w4,"Snicker"
410,/m/07ppn3j,"Sniff"
411,/m/01d3sd,"Snoring"
412,/m/07q0yl5,"Snort"
413,/m/0790c,"Sonar"
414,/m/074ft,"Song"
415,/m/0gywn,"Soul music"
416,/m/0c1dj,"Sound effect"
417,/m/0l14gg,"Soundtrack music"
418,/m/09x0r,"Speech"
419,/m/0brhx,"Speech synthesizer"
420,/m/07rrlb6,"Splash, splatter"
421,/m/07pl1bw,"Splinter"
422,/m/07qlf79,"Spray"
423,/m/07sx8x_,"Squawk"
424,/m/07q6cd_,"Squeak"
425,/m/07s02z0,"Squeal"
426,/m/07qlwh6,"Squish"
427,/m/07rgkc5,"Static"
428,/m/06wzb,"Steam"
429,/m/06hck5,"Steam whistle"
430,/m/06w87,"Steel guitar, slide guitar"
431,/m/0l156b,"Steelpan"
432,/m/07ptfmf,"Stir"
433,/m/01g90h,"Stomach rumble"
434,/m/0j6m2,"Stream"
435,/m/02qmj0d,"String section"
436,/m/07s0s5r,"Strum"
437,/m/0195fx,"Subway, metro, underground"
438,/m/015y_n,"Swing music"
439,/m/0l14qv,"Synthesizer"
440,/t/dd00006,"Synthetic singing"
441,/m/01p970,"Tabla"
442,/m/07brj,"Tambourine"
443,/m/07qcpgn,"Tap"
444,/m/01glhc,"Tapping (guitar technique)"
445,/m/07qcx4z,"Tearing"
446,/m/07gxw,"Techno"
447,/m/07cx4,"Telephone"
448,/m/07pp8cl,"Telephone bell ringing"
449,/m/02c8p,"Telephone dialing, DTMF"
450,/m/07c52,"Television"
451,/t/dd00034,"Tender music"
452,/m/02cjck,"Theme music"
453,/m/07kc_,"Theremin"
454,/m/0dl9sf8,"Throat clearing"
455,/m/07p_0gm,"Throbbing"
456,/m/07qnq_y,"Thump, thud"
457,/m/0ngt1,"Thunder"
458,/m/0jb2l,"Thunderstorm"
459,/m/07rrh0c,"Thunk"
460,/m/07qjznt,"Tick"
461,/m/07qjznl,"Tick-tock"
462,/m/011k_j,"Timpani"
463,/m/0h9mv,"Tire squeal"
464,/m/01jt3m,"Toilet flush"
465,/m/07k1x,"Tools"
466,/m/07qv_d5,"Toot"
467,/m/012xff,"Toothbrush"
468,/m/02p0sh1,"Traditional music"
469,/m/0btp2,"Traffic noise, roadway noise"
470,/m/07jdr,"Train"
471,/m/0284vy3,"Train horn"
472,/t/dd00048,"Train wheels squealing"
473,/m/04zmvq,"Train whistle"
474,/m/07lnk,"Trance music"
475,/m/07pqc89,"Trickle, dribble"
476,/m/07c6l,"Trombone"
477,/m/07r04,"Truck"
478,/m/07gql,"Trumpet"
479,/m/016622,"Tubular bells"
480,/m/07n_g,"Tuning fork"
481,/m/01rd7k,"Turkey"
482,/m/0c2wf,"Typewriter"
483,/m/0316dw,"Typing"
484,/m/07xzm,"Ukulele"
485,/m/0d31p,"Vacuum cleaner"
486,/m/07yv9,"Vehicle"
487,/m/0912c9,"Vehicle horn, car horn, honking"
488,/m/0dwt5,"Vibraphone"
489,/m/01jwx6,"Vibration"
490,/m/01z7dr,"Video game music"
491,/m/07y_7,"Violin, fiddle"
492,/m/0y4f8,"Vocal music"
493,/m/07qw_06,"Wail, moan"
494,/m/07pbtc8,"Walk, footsteps"
495,/m/0838f,"Water"
496,/m/02jz0l,"Water tap, faucet"
497,/m/0j2kx,"Waterfall"
498,/m/034srq,"Waves, surf"
499,/m/04wptg,"Wedding music"
500,/m/07rdhzs,"Whack, thwack"
501,/m/032n05,"Whale vocalization"
502,/m/07mzm6,"Wheeze"
503,/m/07qz6j3,"Whimper"
504,/t/dd00136,"Whimper (dog)"
505,/m/07rbp7_,"Whip"
506,/m/07s34ls,"Whir"
507,/m/02rtxlg,"Whispering"
508,/m/0l156k,"Whistle"
509,/m/01w250,"Whistling"
510,/m/0chx_,"White noise"
511,/m/07rwj3x,"Whoop"
512,/m/07rqsjt,"Whoosh, swoosh, swish"
513,/m/01280g,"Wild animals"
514,/m/03m9d0z,"Wind"
515,/m/026fgl,"Wind chime"
516,/m/085jw,"Wind instrument, woodwind instrument"
517,/t/dd00092,"Wind noise (microphone)"
518,/m/083vt,"Wood"
519,/m/01sm1g,"Wood block"
520,/m/081rb,"Writing"
521,/m/07sr1lc,"Yell"
522,/m/07r_k2n,"Yip"
523,/m/01swy6,"Yodeling"
524,/m/07p78v5,"Zing"
525,/m/01s0vc,"Zipper (clothing)"
526,/m/01bns_,"Zither"
